"","host","microbe"
"1","Juniperus communis","Zotu1101"
"2","Juniperus communis","Zotu1326"
"3","Juniperus communis","Zotu256"
"4","Juniperus communis","Zotu447"
"5","Juniperus communis","Zotu4878"
"6","Pinus contorta","Zotu256"
"7","Pinus contorta","Zotu447"
"8","Pinus contorta","Zotu743"
"9","Primula parryi","Zotu150"
