"unique.dat.label.","MEM1","MEM2"
"1_1",-2.37199927640122,-0.0485080149541695
"1_2",-2.3718922175643,-0.0485044151745688
"1_3",-2.37203468844545,-0.0485092055676136
"2_1",0.333511492639608,-1.80094491413129
"2_2",0.333585289656172,-1.80094160092191
"2_3",0.333824977145292,-1.8009357634219
"3_1",0.484159451283196,0.0102617967502209
"3_2",0.481102990478131,0.00929891427740829
"3_3",0.484651962862257,0.0158854891716039
"4_1",0.470582678218782,0.0353402603876852
"4_2",0.471896002848422,0.0206026898046986
"4_3",0.470441189286863,0.00922978852768361
"5_1",0.494309487810171,-0.02006341761112
"5_2",0.494206448541849,-0.0220190706409814
"5_3",0.494219475516619,-0.0211278577850416
"6_1",0.26263497972076,1.84923299048683
"6_2",0.26596214923869,1.84912563257092
"6_3",0.260278501136154,1.84920991738977
"7_1",0.491388168198237,-0.0126053486300292
"7_2",0.489170937829762,-0.0240278705282122
