label,area_cm2,mass_g,mass_extracted_g,leaves_extracted,extractionFailed,rewashed,leaf_broken,slaOnly,region,site,species,indiv,notes
5_2_4_8,0.1,0.0021,0.046,11,,,,,5,2,4,8,
5_2_4_9,0.15,0.0033,0.0237,7,,,,,5,2,4,9,
5_2_4_10,0.12,0.0027,0.047,10,,,,,5,2,4,10,
5_2_5_1,4.61963043,NA,0.0273,partial,,,,,5,2,5,1,
5_2_5_2,6.479481641,0.0513,0.0386,partial,,,,,5,2,5,2,
5_2_5_3,3.638108951,0.0235,0.048,1,,,,,5,2,5,3,
5_2_5_4,3.875689945,NA,0.04,1,,,,,5,2,5,4,
5_2_5_5,13.21094312,0.0923,0.0404,partial,,,,,5,2,5,5,
5_2_5_6,5.92512599,NA,0.05,1,,,,,5,2,5,6,
5_2_5_7,9.361651068,0.0628,0.045,1,,,,,5,2,5,7,
5_2_5_8,13.25413967,NA,0.04,1,,,,,5,2,5,8,
5_2_5_9,9.152867771,NA,0.047,1,,,,,5,2,5,9,
5_2_5_10,20.74154068,0.206,0.045,1,,,,,5,2,5,10,
5_2_6_1,0.2375809935,NA,0.0272,7,,yes,,,5,2,6,1,
5_2_6_2,0.5423566115,NA,0.0363,3,,,,,5,2,6,2,
5_2_6_3,0.2423806096,0.0018,0.0287,5,,,,,5,2,6,3,
5_2_6_4,0.2159827214,0.0009,0.035,10,,,,,5,2,6,4,
5_2_6_5,0.3431725462,NA,0.0357,6,,,,,5,2,6,5,
5_2_6_6,0.6287497,NA,0.0465,3,,yes,,,5,2,6,6,
5_2_6_7,0.1271898248,NA,0.0371,10,,,,,5,2,6,7,
5_2_6_8,0.1415886729,NA,0.0333,12,,,,,5,2,6,8,
5_2_6_9,0.2471802256,0.0018,0.0407,6,,,,,5,2,6,9,
5_2_6_10,0.1151907847,NA,0.0324,10,,,,,5,2,6,10,
5_2_7_1,2.47,0.0743,0.048,1,,yes,,,5,2,7,1,
5_2_7_2,4.16,0.1235,0.044,1,,,,,5,2,7,2,
5_2_7_3,3.49,0.0934,0.035,1,,,,,5,2,7,3,
5_2_7_4,4.61,0.1403,0.043,1,,,,,5,2,7,4,
5_2_7_5,4.98,0.1584,0.041,1,,,,,5,2,7,5,
5_2_7_6,3.18,0.1173,0.047,1,,,,,5,2,7,6,
5_2_7_7,3.95,0.1194,0.043,1,,,,,5,2,7,7,
5_2_7_8,1.11,0.0269,0.044,1,,,,,5,2,7,8,
5_2_7_9,3.4,0.1149,0.047,1,,,,,5,2,7,9,
5_2_7_10,3.21,0.0807,0.041,1,,,,,5,2,7,10,
5_3_1_1,0.5,0.0166,0.0273,2,,,,,5,3,1,1,
5_3_1_2,0.3,0.0084,0.043,3,,,,,5,3,1,2,
5_3_1_3,0.16,0.0038,0.041,3,,,,,5,3,1,3,
5_3_1_4,0.3,0.0089,0.046,2,,,,,5,3,1,4,
5_3_1_5,0.27,0.0077,0.042,5,,,,,5,3,1,5,
5_3_1_6,0.26,0.0068,0.0493,3,,,,,5,3,1,6,
5_3_1_7,0.45,0.0112,0.0493,2,,,,,5,3,1,7,
5_3_1_8,0.25,0.0065,0.034,4,,,,,5,3,1,8,
5_3_1_9,0.29,0.0069,0.05,5,,,,,5,3,1,9,
5_3_1_10,0.38,0.007,0.05,5,,,,,5,3,1,10,
5_3_2_1,0.38,0.014,0.048,2,,,,,5,3,2,1,
5_3_2_2,0.36,0.0128,0.04,3,,,,,5,3,2,2,
5_3_2_3,0.54,0.0151,0.043,2,,,,,5,3,2,3,
5_3_2_4,0.45,0.0176,0.045,4,,yes,,,5,3,2,4,
5_3_2_5,0.37,0.0118,0.046,2,,,,,5,3,2,5,
5_3_2_6,0.19,0.0045,0.043,6,,,,,5,3,2,6,
5_3_2_7,0.22,0.005,0.042,3,,,,,5,3,2,7,
5_3_2_8,0.2,0.0052,0.039,3,,,,,5,3,2,8,
5_3_2_9,0.4,0.135,0.04,3,,,,,5,3,2,9,
5_3_2_10,0.32,0.0132,0.049,2,,,,,5,3,2,10,
5_3_3_1,0.2423806096,0.0034,0.04,5,,,no,,5,3,3,1,
5_3_3_2,1.372690185,0.0144,0.041,4,,,no,,5,3,3,2,
5_3_3_3,0.5663546916,0.0071,0.045,4,,,no,,5,3,3,3,
5_3_3_4,0.2471802256,0.0047,0.044,5,,,no,,5,3,3,4,
5_3_3_5,0.8975281977,0.0085,0.036,5,,,no,,5,3,3,5,
5_3_3_6,1.624670026,0.0124,0.037,3,,,no,,5,3,3,6,
5_3_3_7,1.291096712,0.0101,0.039,4,,,no,,5,3,3,7,
5_3_3_8,1.459083273,0.0123,0.046,4,,,no,,5,3,3,8,
5_3_3_9,0.6791456683,0.0051,0.046,2,,,yes,,5,3,3,9,
5_3_3_10,1.461483081,0.0097,0.042,3,,,no,,5,3,3,10,
5_3_4_1,6.32349412,0.0554,0.0391,partial,,,no,,5,3,4,1,
5_3_4_2,8.200143988,0.0741,0.0468,partial,,,no,,5,3,4,2,
5_3_4_3,4.650827934,0.0457,0.0477,partial,,,no,,5,3,4,3,
5_3_4_4,12.61099112,0.1275,0.0345,partial,,,no,,5,3,4,4,
5_3_4_5,8.874490041,0.0632,0.0305,partial,,,yes,,5,3,4,5,
5_3_4_6,12.4838013,0.0891,0.0339,partial,,,yes,,5,3,4,6,
5_3_4_7,10.837533,0.0637,0.0363,partial,,,yes,,5,3,4,7,
5_3_4_8,20.66474682,0.1447,0.0319,partial,,,no,,5,3,4,8,
5_3_4_9,6.918646508,0.0639,0.0475,partial,,,no,,5,3,4,9,
5_3_4_10,6.222702184,0.0582,0.045,partial,,,no,,5,3,4,10,
5_3_5_1,2.920566355,0.0167,0.0385,partial,,,no,,5,3,5,1,
5_3_5_2,3.275737941,NA,0.0373,partial,,,no,,5,3,5,2,
5_3_5_3,1.648668107,0.0131,0.041,1,,,no,,5,3,5,3,
5_3_5_4,2.505399568,0.0263,0.0368,1,,,no,,5,3,5,4,
5_3_5_5,1.864650828,0.0162,0.0439,1,,,no,,5,3,5,5,
5_3_5_6,2.347012239,0.0118,0.0463,partial,,,no,,5,3,5,6,
5_3_5_7,2.284617231,0.0214,0.0487,partial,,,no,,5,3,5,7,
5_3_5_8,2.279817615,0.0159,0.0344,partial,,,yes,,5,3,5,8,
5_3_5_9,2.301415887,0.0141,0.0454,1,,,yes,,5,3,5,9,
5_3_5_10,3.165346772,0.0136,0.0488,partial,,,yes,,5,3,5,10,
5_3_6_1,2.567794576,0.0218,0.036,partial,,,no,,5,3,6,1,
5_3_6_2,3.652507799,0.0179,0.0399,partial,,,no,,5,3,6,2,
5_3_6_3,3.062155028,0.0168,0.0386,partial,,,no,,5,3,6,3,
5_3_6_4,1.655867531,0.0108,0.0334,partial,,,no,,5,3,6,4,
5_3_6_5,3.916486681,0.0182,0.0274,partial,,,no,,5,3,6,5,
5_3_6_6,2.169426446,0.0109,0.0377,partial,,,no,,5,3,6,6,
5_3_6_7,2.426205904,0.004,0.0314,partial,,,yes,,5,3,6,7,
5_3_6_8,2.344612431,0.0062,0.0304,1,,,yes,,5,3,6,8,
5_3_6_9,1.634269258,0.009,0.0293,partial,,,no,,5,3,6,9,
5_3_6_10,3.510919126,0.0183,0.0398,1,,,no,,5,3,6,10,
5_3_7_1,0.4943604512,NA,0.026,6,,,broken,,5,3,7,1,
5_3_7_2,0.2519798416,NA,0.0316,7,,,broken,,5,3,7,2,
5_3_7_3,0.2183825294,0.0012,0.0365,6,,,yes,,5,3,7,3,
5_3_7_4,0.7175425966,0.0022,0.0387,4,,,yes,,5,3,7,4,
5_3_7_5,1.103911687,0.0027,0.0278,4,,,yes,,5,3,7,5,
5_3_7_6,0.6671466283,NA,0.0369,5,,,broken,,5,3,7,6,
5_3_7_7,0.9527237821,NA,0.0387,5,,,broken,,5,3,7,7,
5_3_7_8,0.5999520038,NA,0.03,5,,,broken,,5,3,7,8,
5_3_7_9,0.5303575714,0.0015,0.0339,5,,,no,,5,3,7,9,
5_3_7_10,0.4511639069,NA,0.0336,5,,,broken,,5,3,7,10,
6_1_1_1,0.49,0.0124,0.0292,1,,,,,6,1,1,1,
6_1_1_2,0.36,0.0102,0.0355,2,,,,,6,1,1,2,
6_1_1_3,0.5,0.0144,0.0342,1,,,,,6,1,1,3,
6_1_1_4,0.3,0.008,0.0374,2,,,,,6,1,1,4,
6_1_1_5,0.53,0.0122,0.0336,1,,,,,6,1,1,5,
6_1_1_6,0.56,0.016,0.0276,1,,,,,6,1,1,6,
6_1_1_7,0.5,0.0121,0.0286,1,,,,,6,1,1,7,
6_1_1_8,0.48,0.0126,0.0458,2,,,,,6,1,1,8,
6_1_1_9,0.41,0.0121,0.0437,2,,,,,6,1,1,9,
6_1_1_10,0.43,0.0116,0.0453,2,,,,,6,1,1,10,
6_1_2_1,0.17,0.0055,0.0377,3,,,,,6,1,2,1,
6_1_2_2,0.18,0.0054,0.0296,3,,,,,6,1,2,2,
6_1_2_3,0.23,0.0079,0.0394,2,,,,,6,1,2,3,
6_1_2_4,0.13,0.0044,0.0341,4,,,,,6,1,2,4,
6_1_2_5,0.26,0.0092,0.0393,2,,,,,6,1,2,5,
6_1_2_6,0.14,0.0049,0.0294,3,,,,,6,1,2,6,
6_1_2_7,0.13,0.0035,0.035,3,,,,,6,1,2,7,
6_1_2_8,0.19,0.006,0.0444,3,,,,,6,1,2,8,
6_1_2_9,0.21,0.0057,0.0364,3,,yes,,,6,1,2,9,
6_1_2_10,0.234,0.0072,0.0357,3,,,,,6,1,2,10,
6_1_3_1,0.3157016917,0.0014,0.0217,8,,,,,6,1,3,1,
6_1_3_2,0.4395997141,0.0027,0.0249,4,,,,,6,1,3,2,
6_1_3_3,0.4565165594,NA,0.0332,4,,,,,6,1,3,3,
6_1_3_4,0.4014772457,NA,0.0293,5,,,,,6,1,3,4,
6_1_3_5,0.626161544,0.0023,0.0238,6,,,,,6,1,3,5,
6_1_3_6,0.4934477007,0.0019,0.0289,4,,,,,6,1,3,6,
6_1_3_7,0.6185370503,0.0024,0.0385,5,,,,,6,1,3,7,
6_1_3_8,0.6990707648,0.0032,0.0226,4,,,,,6,1,3,8,
6_1_3_9,0.3035501549,0.0018,0.0368,5,,,,,6,1,3,9,
6_1_3_10,NA,NA,0.034,4,,,,,6,1,3,10,
6_1_4_1,0.13,0.0015,0.0288,5,,,,,6,1,4,1,
6_1_4_2,0.12,0.0028,0.0302,5,yes,,,,6,1,4,2,
6_1_4_3,0.08,0.002,0.0213,5,,,,,6,1,4,3,
6_1_4_4,0.13,0.0029,0.0283,4,,,,,6,1,4,4,
6_1_4_5,0.09,0.0023,0.0341,7,,,,,6,1,4,5,
6_1_4_6,0.12,0.0023,0.0256,4,,,,,6,1,4,6,
6_1_4_7,0.09,0.0017,0.0311,6,,,,,6,1,4,7,
6_1_4_8,0.12,0.0031,0.0275,4,,,,,6,1,4,8,
6_1_4_9,0.08,0.0018,0.0284,6,,,,,6,1,4,9,
6_1_4_10,0.1,0.0016,0.0295,7,,,,,6,1,4,10,
6_2_1_1,0.54,0.0134,0.0298,1,,,,,6,2,1,1,
6_2_1_2,0.29,0.0072,0.0349,2,,,,,6,2,1,2,
6_2_1_3,0.36,0.008,0.0331,2,,,,,6,2,1,3,
6_2_1_4,0.33,0.0087,0.0357,2,,,,,6,2,1,4,
6_2_1_5,0.44,0.01,0.0312,2,,,,,6,2,1,5,
6_2_1_6,0.36,0.0095,0.0441,2,,,,,6,2,1,6,
6_2_1_7,0.38,0.0092,0.0344,2,,,,,6,2,1,7,
6_2_1_8,0.29,0.0084,0.0233,1,,,,,6,2,1,8,
6_2_1_9,0.31,0.0088,0.0413,2,,,,,6,2,1,9,
6_2_1_10,0.27,0.0063,0.0311,2,,yes,,,6,2,1,10,
6_2_2_1,10.43676506,0.1002,0.0295,partial,,,,,6,2,2,1,
6_2_2_2,10.19198464,0.1048,0.0257,partial,,,,,6,2,2,2,
6_2_2_3,19.2512599,0.1789,0.0465,partial,,,,,6,2,2,3,
6_2_2_4,9.784017279,0.0858,0.0444,partial,,,,,6,2,2,4,
6_2_2_5,22.29661627,0.211,0.0384,partial,,,,,6,2,2,5,
6_2_2_6,10.52555796,0.1021,0.0332,partial,,,,,6,2,2,6,
6_2_2_7,24.8212143,NA,0.0474,partial,,,,,6,2,2,7,
6_2_2_8,12.64458843,0.111,0.0377,partial,,,,,6,2,2,8,
6_2_2_9,9.786417087,0.0833,0.0396,partial,,,,,6,2,2,9,
6_2_2_10,6.870650348,0.0596,0.0309,partial,,,,,6,2,2,10,
6_2_3_1,15.25317975,0.1257,0.0436,partial,,,,,6,2,3,1,
6_2_3_2,17.18262539,0.1563,0.0487,partial,,,,,6,2,3,2,
6_2_3_3,6.129109671,0.0572,0.0404,partial,,,,,6,2,3,3,
6_2_3_4,6.551475882,0.0373,0.0285,partial,,,,,6,2,3,4,
6_2_3_5,17.22102232,0.1203,0.0342,partial,,yes,,,6,2,3,5,
6_2_3_6,32.40460763,0.3091,0.0445,partial,,,,,6,2,3,6,
6_2_3_7,26.83465323,0.1945,0.0436,partial,,,,,6,2,3,7,
6_2_3_8,28.28413727,0.3188,0.0432,partial,,,,,6,2,3,8,
6_2_3_9,8.317734581,0.0832,0.0365,partial,,,,,6,2,3,9,
6_2_3_10,16.30669546,0.1555,0.0399,partial,,,,,6,2,3,10,
6_2_4_1,0.12,0.0022,0.0315,6,,,,,6,2,4,1,
6_2_4_2,0.16,0.002,0.027,5,,yes,,,6,2,4,2,
6_2_4_3,0.14,0.0034,0.0357,6,,,,,6,2,4,3,
6_2_4_4,0.11,0.0018,0.0257,6,,,,,6,2,4,4,
6_2_4_5,0.17,0.0032,0.0441,4,,,,,6,2,4,5,
6_2_4_6,0.11,0.0037,0.0296,6,,,,,6,2,4,6,
6_2_4_7,0.15,0.0036,0.0326,4,,,,,6,2,4,7,
6_2_4_8,0.13,0.0028,0.0299,5,,,,,6,2,4,8,
6_2_4_9,0.13,0.0032,0.028,6,,,,,6,2,4,9,
6_2_4_10,0.23,0.0042,0.0407,5,,,,,6,2,4,10,
6_2_5_1,1.58387329,0.0159,0.0287,1,,,,,6,2,5,1,
6_2_5_2,1.757859371,0.0125,0.0461,1,,,,,6,2,5,2,
6_2_5_3,1.507319414,0.0104,0.0305,1,,,,,6,2,5,3,
6_2_5_4,1.587233021,0.0118,0.0322,1,,,,,6,2,5,4,
6_2_5_5,1.109191265,0.0091,0.0243,1,,,,,6,2,5,5,
6_2_5_6,1.234461243,0.0105,0.0352,1,,,,,6,2,5,6,
6_2_5_7,1.291336693,0.0073,0.027,1,,,,,6,2,5,7,
6_2_5_8,0.4842812575,0.0054,0.0274,3,,,,,6,2,5,8,
6_2_5_9,1.420926326,0.0143,0.0302,1,,,,,6,2,5,9,
6_2_5_10,0.9366450684,0.0107,0.0316,1,,,,,6,2,5,10,
6_2_6_1,1.590112791,NA,0.0271,2,,,,,6,2,6,1,
6_2_6_2,2.540196784,NA,0.0456,2,,,,,6,2,6,2,
6_2_6_3,2.861291097,NA,0.0413,2,,,,,6,2,6,3,
6_2_6_4,3.108231341,NA,0.034,2,,,,,6,2,6,4,
6_2_6_5,2.826973842,NA,0.0391,2,,,,,6,2,6,5,
6_2_6_6,3.684425246,NA,0.0347,1,,,,,6,2,6,6,
6_2_6_7,1.158867291,0.0047,0.0371,1,,,,,6,2,6,7,
6_2_6_8,4.495800336,NA,0.0414,1,,,,,6,2,6,8,
6_2_6_9,5.035517159,NA,0.0475,2,,,,,6,2,6,9,
6_2_6_10,2.665466763,NA,0.0337,1,,,,,6,2,6,10,
6_2_7_1,7.031437485,0.04,0.0285,partial,,,,,6,2,7,1,
6_2_7_2,1.204703624,0.0116,0.0401,2,,,,,6,2,7,2,
6_2_7_3,1.355891529,0.0061,0.042,1,,,yes,,6,2,7,3,
6_2_7_4,4.06287497,0.02,0.0444,1,,,,,6,2,7,4,
6_2_7_5,2.282217423,0.01,0.0381,1,,,,,6,2,7,5,
6_2_7_6,3.38612911,0.02,0.0473,1,,,,,6,2,7,6,
6_2_7_7,8.012958963,0.08,0.0362,partial,,,,,6,2,7,7,
6_2_7_8,4.379649628,0.04,0.0441,partial,,,,,6,2,7,8,
6_2_7_9,2.594192465,0.02,0.039,partial,,,,,6,2,7,9,
6_2_7_10,5.406767459,0.03,0.0471,partial,,,,,6,2,7,10,
6_3_1_1,0.43,0.0101,0.045,3,,,,,6,3,1,1,
6_3_1_2,0.4,0.0104,0.046,3,,,,,6,3,1,2,
6_3_1_3,0.48,0.0165,0.043,3,,yes,,,6,3,1,3,
6_3_1_4,0.27,0.0064,0.036,5,,,,,6,3,1,4,
6_3_1_5,0.15,0.003,0.033,5,,,,,6,3,1,5,
6_3_1_6,0.42,0.01,0.039,3,,,,,6,3,1,6,
6_3_1_7,0.22,0.0051,0.031,5,,,,,6,3,1,7,
6_3_1_8,0.2,0.0046,0.031,5,,,,,6,3,1,8,
6_3_1_9,0.21,0.0051,0.042,4,,,,,6,3,1,9,
6_3_1_10,0.15,0.0026,0.043,3,,,,,6,3,1,10,
6_3_2_1,0.6599472042,0.0051,0.032,10,,,,,6,3,2,1,
6_3_2_2,0.5207583393,0.0027,0.043,10,,,,,6,3,2,2,
6_3_2_3,0.5879529638,0.0019,0.037,10,,,yes,,6,3,2,3,
6_3_2_4,0.307175426,0.0009,0.041,10,,,yes,,6,3,2,4,
6_3_2_5,0.3359731222,0.0015,0.032,10,,,,,6,3,2,5,
6_3_2_6,0.3287736981,0.003,0.046,5,,,,,6,3,2,6,
6_3_2_7,0.4943604512,0.0028,0.046,10,,,,,6,3,2,7,
6_3_2_8,0.5207583393,0.002,0.036,10,,,,,6,3,2,8,
6_3_2_9,0.5351571874,0.0031,0.047,10,,,,,6,3,2,9,
6_3_2_10,0.4151667867,NA,0.048,10,,,broken,,6,3,2,10,
6_3_3_1,2.8,0.0428,0.0328,partial,,,,,6,3,3,1,
6_3_3_2,5.51,0.0462,0.0314,partial,,yes,,,6,3,3,2,
6_3_3_3,2.04,0.0403,0.0349,partial,yes,,,,6,3,3,3,
6_3_3_4,2.09,0.0392,0.0258,partial,,,,,6,3,3,4,
6_3_3_5,1.55,0.0262,0.0286,partial,,,,,6,3,3,5,
6_3_3_6,1.49,0.0241,0.0349,partial,,,,,6,3,3,6,
6_3_3_7,2.14,0.0419,0.0417,partial,,,,,6,3,3,7,
6_3_3_8,2.8,0.0583,0.0374,partial,,,,,6,3,3,8,
6_3_3_9,2.27,0.0378,0.0426,partial,,,,,6,3,3,9,
6_3_3_10,2.46,0.0379,0.0377,partial,,,,,6,3,3,10,
6_3_4_1,0.1,0.0018,0.0345,5,,,,,6,3,4,1,
6_3_4_2,0.1,0.0024,0.0456,9,,,,,6,3,4,2,
6_3_4_3,0.13,0.0031,0.0459,8,yes,,,,6,3,4,3,
6_3_4_4,0.1,0.0025,0.043,6,,,,,6,3,4,4,
6_3_4_5,0.08,0.0018,0.0298,8,,,,,6,3,4,5,
6_3_4_6,0.08,0.0022,0.0293,7,,,,,6,3,4,6,
6_3_4_7,0.11,0.0024,0.0446,7,,,,,6,3,4,7,
6_3_4_8,0.16,0.0033,0.0308,7,,,,,6,3,4,8,
6_3_4_9,0.05,0.0013,0.0308,7,,,,,6,3,4,9,
6_3_4_10,0.09,0.0017,0.0385,9,,,,,6,3,4,10,
6_3_5_1,93.8636909,NA,0.048,partial,,,,,6,3,5,1,
6_3_5_2,103.1893449,NA,0.0332,partial,,,,,6,3,5,2,
6_3_5_3,46.43868491,NA,0.034,partial,,,,,6,3,5,3,
6_3_5_4,56.1075114,0.8783,0.0328,partial,,,,,6,3,5,4,
6_3_5_5,47.724982,0.5958,0.0345,partial,yes,,,,6,3,5,5,
6_3_5_6,42.01823854,0.4559,0.0307,partial,,,,,6,3,5,6,
6_3_5_7,37.69858411,0.3144,0.0454,partial,,,,,6,3,5,7,
6_3_5_8,51.43508519,0.6916,0.0486,partial,,,,,6,3,5,8,
6_3_5_9,36.66666667,0.5353,0.0438,partial,,,,,6,3,5,9,
6_3_5_10,32.86297096,0.3109,0.0438,partial,,,,,6,3,5,10,
6_3_6_1,18.02975762,NA,0.0382,partial,,,,,6,3,6,1,
6_3_6_2,9.200863931,NA,0.0452,partial,,,,,6,3,6,2,
6_3_6_3,24.15646748,NA,0.0462,partial,,,,,6,3,6,3,
6_3_6_4,26.79145668,NA,0.0423,partial,,,,,6,3,6,4,
6_3_6_5,23.67890569,NA,0.0498,partial,,,,,6,3,6,5,
6_3_6_6,14.66042717,NA,0.0425,partial,,,,,6,3,6,6,
6_3_6_7,4.910007199,NA,0.0395,partial,,,,,6,3,6,7,
6_3_6_8,20.56635469,NA,0.033,partial,,,,,6,3,6,8,
6_3_6_9,19.33285337,NA,0.0388,partial,,,,,6,3,6,9,
6_3_6_10,17.17542597,NA,0.042,partial,,,,,6,3,6,10,
7_1_1_1,5.346772258,0.0397,0.043,1,,,,,7,1,1,1,
7_1_1_2,3.806095512,NA,0.05,1,,,,,7,1,1,2,
7_1_1_3,4.926805856,0.0512,0.042,1,,,,,7,1,1,3,
7_1_1_4,1.634269258,NA,0.038,2,,,,,7,1,1,4,
7_1_1_5,2.867770578,0.0246,0.034,1,,,,,7,1,1,5,
7_1_1_6,3.894888409,0.0388,0.044,2,,,,,7,1,1,6,
7_1_1_7,9.076073914,NA,0.042,1,,,,,7,1,1,7,
7_1_1_8,8.502519798,0.0802,0.04,1,yes,,,,7,1,1,8,
7_1_1_9,8.552915767,NA,0.042,1,,,,,7,1,1,9,
7_1_1_10,9.664026878,0.0774,0.04,1,,,,,7,1,1,10,
7_1_2_1,2.52,0.2219,0.04,1,,,,,7,1,2,1,
7_1_2_2,1.85,0.015,0.04,1,,,,,7,1,2,2,
7_1_2_3,1.28,0.0109,0.039,1,,yes,,,7,1,2,3,
7_1_2_4,2.17,0.0184,0.045,1,,,,,7,1,2,4,
7_1_2_5,2.24,0.0183,0.04,1,,,,,7,1,2,5,
7_1_2_6,1.8,0.0158,0.038,1,,,,,7,1,2,6,
7_1_2_7,8.27,0.0778,0.047,1,,,,,7,1,2,7,
7_1_2_8,2.58,0.0211,0.037,1,,,,,7,1,2,8,
7_1_2_9,2.2,0.194,0.04,1,,,,,7,1,2,9,
7_1_2_10,1.86,0.0138,0.035,1,,,,,7,1,2,10,
7_1_3_1,9.648908087,NA,0.045,1,,,,,7,1,3,1,
7_1_3_2,6.956083513,NA,0.048,1,,,,,7,1,3,2,
7_1_3_3,8.131989441,NA,0.033,1,,,,,7,1,3,3,
7_1_3_4,6.565394768,NA,0.041,1,,,,,7,1,3,4,
7_1_3_5,11.99472042,NA,0.045,1,,,,,7,1,3,5,
7_1_3_6,5.497240221,NA,0.033,1,,,,,7,1,3,6,
7_1_3_7,9.539476842,NA,0.036,1,,,,,7,1,3,7,
7_1_3_8,5.977441805,NA,0.034,1,,,,,7,1,3,8,
7_1_3_9,10.65298776,NA,0.04,1,,,,,7,1,3,9,
7_1_3_10,8.238780898,NA,0.036,1,,,,,7,1,3,10,
7_1_4_1,0.2543796496,0.0083,0.047,4,,,,,7,1,4,1,
7_1_4_2,0.2639788817,0.0094,0.039,2,,,,,7,1,4,2,
7_1_4_3,0.4607631389,0.0157,0.047,2,,,,,7,1,4,3,
7_1_4_4,0.470362371,0.0171,0.036,1,,,,,7,1,4,4,
7_1_4_5,0.3263738901,0.0123,0.037,2,,,,,7,1,4,5,
7_1_4_6,0.6791456683,0.0208,0.044,1,,,,,7,1,4,6,
7_1_4_7,0.4415646748,NA,0.039,1,,,,,7,1,4,7,
7_1_4_8,0.1391888649,NA,0.047,3,,,,,7,1,4,8,
7_1_4_9,0.5663546916,0.0197,0.044,2,,,,,7,1,4,9,
7_1_4_10,0.472762179,0.0177,0.046,1,yes,,,,7,1,4,10,
7_1_5_1,0.4847612191,0.0039,0.041,4,,,Check measure,,7,1,5,1,
7_1_5_2,0.3863690905,0.0031,0.033,3,,,,,7,1,5,2,
7_1_5_3,0.3431725462,0.0031,0.03,3,,,,,7,1,5,3,
7_1_5_4,0.31437485,0.0023,0.036,5,,,,,7,1,5,4,
7_1_5_5,0.3863690905,0.0034,0.037,3,,,,,7,1,5,5,
7_1_5_6,0.1991840653,0.0015,0.033,13,,,,,7,1,5,6,
7_1_5_7,0.3671706263,0.0033,0.036,5,,,,,7,1,5,7,
7_1_5_8,0.316774658,0.0028,0.031,12,,,,,7,1,5,8,
7_1_5_9,0.3887688985,0.0036,0.034,7,,,,,7,1,5,9,
7_1_5_10,0.4487640989,0.0036,0.033,6,,,,,7,1,5,10,
7_2_1_1,0.42,0.0077,0.0403,2,,,,,7,2,1,1,
7_2_1_2,0.47,0.01,0.0343,2,,,,,7,2,1,2,
7_2_1_3,0.46,0.008,0.0476,2,,yes,,,7,2,1,3,
7_2_1_4,0.41,0.0093,0.0384,2,,,,,7,2,1,4,
7_2_1_5,0.34,0.0075,0.0401,2,,,,,7,2,1,5,
7_2_1_6,0.35,0.0069,0.0388,2,,,,,7,2,1,6,
7_2_1_7,0.37,0.0069,0.03,2,,,,,7,2,1,7,
7_2_1_8,0.37,0.0081,0.0462,2,,,,,7,2,1,8,
7_2_1_9,0.42,0.0079,0.0314,2,,,,,7,2,1,9,
7_2_1_10,0.47,0.01,0.0276,2,,,,,7,2,1,10,
7_2_2_1,16.91864651,0.1446,0.0337,partial,,,,,7,2,2,1,
7_2_2_2,17.07463403,0.1426,0.0374,partial,,yes,,,7,2,2,2,
7_2_2_3,11.89344852,0.1212,0.0453,partial,,,,,7,2,2,3,
7_2_2_4,23.59731222,0.2204,0.0469,partial,,,,,7,2,2,4,
7_2_2_5,12.87976962,0.1086,0.0409,partial,,,,,7,2,2,5,
7_2_2_6,17.20662347,0.1826,0.0416,partial,,,,,7,2,2,6,
7_2_2_7,10.40796736,0.1094,0.032,partial,,,,,7,2,2,7,
7_2_2_8,7.153827694,NA,0.0299,partial,,,,,7,2,2,8,
7_2_2_9,8.917686585,NA,0.0297,partial,,,,,7,2,2,9,
7_2_2_10,14.55483561,0.1235,0.0424,partial,,,,,7,2,2,10,
7_2_3_1,3.094552436,0.0185,0.0323,1,,,,,7,2,3,1,
7_2_3_2,1.588192945,0.0108,0.0487,2,,,,,7,2,3,2,
7_2_3_3,2.453323734,0.0162,0.0269,1,,,,,7,2,3,3,
7_2_3_4,3.019438445,0.0114,0.0341,1,,,,,7,2,3,4,
7_2_3_5,5.065274778,0.0251,0.0305,1,,,,,7,2,3,5,
7_2_3_6,5.047516199,0.0225,0.0483,partial,,,,,7,2,3,6,
7_2_3_7,4.239020878,0.0181,0.0434,1,,,,,7,2,3,7,
7_2_3_8,4.652267819,0.0171,0.038,1,,,,,7,2,3,8,
7_2_3_9,6.342692585,0.0314,0.0452,partial,,,,,7,2,3,9,
7_2_3_10,3.076553876,0.0141,0.0377,1,,,,,7,2,3,10,
7_2_4_1,0.3491720662,0.0035,0.0291,4,,,no,,7,2,4,1,
7_2_4_2,0.5814734821,0.005,0.0416,3,,,no,,7,2,4,2,
7_2_4_3,0.3436525078,0.0032,0.0258,4,,,no,,7,2,4,3,
7_2_4_4,0.4024478042,0.003,0.0271,4,,,no,,7,2,4,4,
7_2_4_5,0.37724982,0.0035,0.0301,4,,,no,,7,2,4,5,
7_2_4_6,0.588912887,0.0052,0.0347,2,,,no,,7,2,4,6,
7_2_4_7,0.2272618191,0.0015,0.0265,4,,,no,,7,2,4,7,
7_2_4_8,0.4290856731,0.0041,0.0277,3,,,no,,7,2,4,8,
7_2_4_9,0.7840172786,0.0048,0.036,2,,,no,,7,2,4,9,
7_2_4_10,0.6287497,0.0057,0.043,3,,,no,,7,2,4,10,
Ast_Alta_ 2_1,0.5975521958,0.0047,0.045,2,,,yes,,Ast,Alta,2,1,
