startTime,label,indiv,xcoord,ycoord,sidePlantSampled,phenology,circumStem,width,plantMeasurements__width2,plantMeasurements__height,height_sample,endTime
2018-08-25T18:22:39.833Z,7_2_2_4,4,18,48,NA,vegetative,NA,33,30,25,20,2018-08-25T20:01:41.682Z
2018-08-25T18:27:59.284Z,7_2_2_5,5,10,27,NA,vegetative,NA,25,14,15,10,2018-08-25T20:01:41.682Z
2018-08-25T18:30:21.595Z,7_2_2_6,6,0,22,NA,vegetative,NA,24,16,23,20,2018-08-25T20:01:41.682Z
2018-08-25T18:33:22.954Z,7_2_2_7,7,24,14,NA,vegetative,NA,37,35,20,12,2018-08-25T20:01:41.682Z
2018-08-25T18:36:26.168Z,7_2_2_8,8,26,18,NA,vegetative,NA,14,12,10,9,2018-08-25T20:01:41.682Z
2018-08-25T18:39:32.418Z,7_2_2_9,9,33,23,NA,fruiting,NA,NA,NA,20,19,2018-08-25T20:01:41.682Z
2018-08-25T18:45:03.899Z,7_2_3_1,1,25,27,NA,vegetative,NA,NA,NA,22,20,2018-08-25T20:01:41.682Z
2018-08-25T19:17:36.398Z,7_2_3_10,10,0,41,NA,vegetative,NA,NA,NA,40,28,2018-08-25T20:01:41.682Z
2018-08-25T18:51:26.477Z,7_2_3_2,2,29,22,NA,vegetative,NA,68,66,36,20,2018-08-25T20:01:41.682Z
2018-08-25T18:54:20.426Z,7_2_3_3,3,33,22,NA,vegetative,NA,NA,NA,33,20,2018-08-25T20:01:41.682Z
2018-08-25T18:56:46.694Z,7_2_3_4,4,35,29,NA,fruiting,NA,NA,NA,29,22,2018-08-25T20:01:41.682Z
2018-08-25T18:59:26.514Z,7_2_3_5,5,41,23,NA,vegetative,NA,74,54,35,33,2018-08-25T20:01:41.682Z
2018-08-25T19:02:57.418Z,7_2_3_6,6,49,29,NA,vegetative,NA,118,63,42,30,2018-08-25T20:01:41.682Z
2018-08-25T19:06:36.268Z,7_2_3_7,7,13,35,NA,vegetative,NA,69,70,35,33,2018-08-25T20:01:41.682Z
2018-08-25T19:10:10.453Z,7_2_3_8,8,16,26,NA,vegetative,NA,NA,NA,40,16,2018-08-25T20:01:41.682Z
2018-08-25T19:14:38.229Z,7_2_3_9,9,4,26,NA,vegetative,NA,NA,NA,38,30,2018-08-25T20:01:41.682Z
2018-08-25T19:22:53.160Z,7_2_4_1,1,27,25,NA,vegetative,NA,NA,NA,5,4,2018-08-25T20:01:41.682Z
2018-08-25T19:56:10.386Z,7_2_4_10,10,39,47,NA,vegetative,NA,NA,NA,5,4,2018-08-25T20:01:41.682Z
2018-08-25T19:33:34.968Z,7_2_4_2,2,26,17,NA,vegetative,NA,NA,NA,5,4,2018-08-25T20:01:41.682Z
2018-08-25T19:36:00.660Z,7_2_4_3,3,27,14,NA,vegetative,NA,NA,NA,2,2,2018-08-25T20:01:41.682Z
2018-08-25T19:38:32.731Z,7_2_4_4,4,23,10,NA,vegetative,NA,NA,NA,4,2,2018-08-25T20:01:41.682Z
2018-08-25T19:41:17.431Z,7_2_4_5,5,20,10,NA,fruiting,NA,NA,NA,5,3,2018-08-25T20:01:41.682Z
2018-08-25T19:44:17.692Z,7_2_4_6,6,25,4,NA,vegetative,NA,NA,NA,6,4,2018-08-25T20:01:41.682Z
2018-08-25T19:47:05.094Z,7_2_4_7,7,33,4,NA,vegetative,NA,NA,NA,4,3,2018-08-25T20:01:41.682Z
2018-08-25T19:49:54.251Z,7_2_4_8,8,40,10,NA,fruiting,NA,NA,NA,6,4,2018-08-25T20:01:41.682Z
2018-08-25T19:52:37.581Z,7_2_4_9,9,37,23,NA,fruiting,NA,NA,NA,4,3,2018-08-25T20:01:41.682Z
