instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,densit__denso,vegRich_tree,vegRich_shrub,vegRich_forb,vegRich_graminoid,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia sp,2,,,,,,,2018-06-23T17:54:16.039Z,Aquiligia caerula,5,6,0,flowering,null,16,17,55,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahonia repens,2,,,,,,,2018-06-23T18:01:19.573Z,Aquiligia caerula,6,23,2,flowering,null,30,20,65,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thalictrum,1,,,,,,,2018-06-23T18:04:14.476Z,Aquiligia caerula,7,7,18,flowering,null,30,22,63,19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poa pratensis,3,,,,,,,2018-06-23T18:12:11.615Z,Aquiligia caerula,8,26,25,flowering,null,45,45,58,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Symphorocarpus,2,,,,,,,2018-06-23T18:19:56.916Z,Aquiligia caerula,9,11,30,flowering,null,30,25,72,33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viola sp,1,,,,,,,2018-06-23T18:24:45.536Z,Aquiligia caerula,10,26,38,flowering,null,null,null,null,null,
,,,,,,,,,,,,,,,,21,10,null,0,5,1,5,0,0,10,3,6,4,55.1,54.5,Angelica,4,,,,,,,2018-06-23T18:46:26.679Z,Juniperus communis,1,18,37,vegetative,null,200,200,92,52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphinium,2,,,,,,,2018-06-23T18:47:07.022Z,Juniperus communis,2,17,34,vegetative,null,214,100,95,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyethia a,2,,,,,,,2018-06-23T18:52:34.938Z,Juniperus communis,3,19,26,vegetative,null,296,199,61,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poa pratense,2,,,,,,,2018-06-23T18:58:39.329Z,Juniperus communis,4,12,25,fruiting,null,122,102,41,31,
